CO2,Methane (CH4),Nitrous Oxide (N2O),HFC,PFC,SF6,NF3,Other Fully Fluorinated GHG,HFE,Very Short-lived Compounds,Power Plants,Petroleum and Natural Gas Systems,Non-Fluorinated Chemicals,Waste,Metals,Minerals,Pulp and Paper,Miscellaneous Combustion,Electronics Manufacturing,year,state
44099050.12099997,3910177.63035,152988.608714,214.8232,516102.961,1696.32,6797.44,54316.0,0.0,0.5630263,35450150.65,2115607.87,165289.688,3345743.136063999,1621670.054,1826152.044,570109.266,2538981.764,1107639.9952263,2011,NY
42642491.47754095,3878597.815999999,125992.013616,107.6257,637530.4859999999,1470.6,2667.72,56864.0,34.29,0.14247,34158946.21,1936862.684,165596.472,3392537.981157001,1843121.572,2020476.414,515871.992,2286912.372,1025430.47417,2012,NY
40103216.09999999,3466982.75,122328.106,166.9061,615817.1719999999,1356.6,3900.96,96979.0,1286.354,0.0007889,32495858.816,1890529.708000001,184853.802,3070791.065999999,1799300.442,1902638.474,555125.714,2299399.043999999,213536.8828888999,2013,NY
40531658.89999999,3656310.2,193001.786,898.2984,205959.316394,5964.48,11002.84,80579.0,271.35,7.8e-06,32931350.01399999,2059747.644,177656.134,3270416.354,1201068.033,1813139.318,679545.416,2289725.890000001,262997.3678018,2014,NY
39817515.00000001,3522633.775,116375.556,732.8058000000001,72754.914394,2970.84,7977.36,138689.0,364.9779,8.400000000000001e-06,31768034.597,2039793.896,202002.66,3219221.356,1031431.422,2038514.262,680102.1020000001,2337635.616,363278.3181024,2015,NY
37068974.90000001,3141158.400000001,107744.582,744.5599,73468.094394,1340.64,10148.0,73378.0,228.3066,8.1e-06,29907086.98199999,2074369.586,78855.572,2856989.588,988525.8690000002,1199424.488,722716.0319999999,2360155.14,289062.2259021,2016,NY
31506856.59999999,3205953.275,103524.604,1094.9657,96363.02519700001,782.04,11092.28,106005.0,175.2234,1.05e-05,24244686.175,2033607.884,74697.332,2947430.91,1057847.239,1411227.442,697954.5900000001,2242779.439999999,321616.0013075001,2017,NY
34280981.4,3194470.45,110080.604,1681.3081,133030.377394,1039.68,11689.12,117555.0,222.156,0.0010126,26553094.31,2000787.364,64499.88,3074587.904,1032205.077,1840354.444,731705.976,2188611.734,364903.4075066001,2018,NY
31196751.80000001,3106371.1,106312.99,1613.357,149401.224394,1233.48,13395.36,104613.3,177.444,1.71e-05,23564363.93,1990666.432,55916.712,3009482.16,880843.7810000001,1823737.826,716116.258,2269547.898,369195.0584110999,2019,NY
32254313.80000001,3462577.9,101602.206,1579.4029,158556.060591,1279.08,14802.32,91420.0,223.56,1.41e-05,25283796.29199999,1841902.994,47879.628,3411655.912,817049.408,1573203.7,691938.366,2061255.886,357672.1435050998,2020,NY
17363739.185,1334968.391575,71068.41050200001,771.089,60529.475,13244.52,14282.88,13067.0,0.0,0.0,14653781.596,975519.154,125789.988,1619656.015077,0.0,278718.99,61570.89599999999,1023222.492,133720.000796,2011,MA
14986774.75259501,1354908.923,59728.109604,561.8409999999999,69374.226,10294.2,5603.76,11524.0,0.0,0.0,12417096.472,952529.1279999998,119324.902,1662636.261199,0.0,212408.41,33269.956,974942.6760000001,126758.7561668,2012,MA
15565387.3,1238168.45,69453.072,544.8629999999999,57348.32900000001,8898.84,4963.92,11205.0,0.0,0.0,12866627.664,916304.928,164479.732,1611440.438,0.0,238039.71,46641.06,1000528.04,112058.3058,2013,MA
13773630.8,1143373.25,65636.288,2384.28,56197.77502,17911.68,10567.68,22000.0,0.0,0.0,11109910.046,849398.912,121688.738,1594571.376,0.0,239832.15,51716.288,982742.4140000001,141925.75312,2014,MA
14198040.0,1130792.525,60255.302,1025.295,50488.038516,9003.720000000001,2476.8,3560.0,0.0,0.0,11545506.723,853461.148,119778.004,1607930.156,0.0,236010.806,51003.144,952512.308,89439.44551599998,2015,MA
13490883.3,1078578.775,57335.2,1007.88,45688.999394,10043.4,454.08,2880.0,0.0,0.0,10890261.417,875694.172,114879.868,1591834.306,0.0,215910.176,61827.596,864835.866,71628.233394,2016,MA
12971744.59999999,1017424.975,52992.446,4084.8,51556.674576,7740.6,407.64,4190.0,0.0,0.0,10455780.653,811652.214,116409.358,1506574.034,0.0,260446.468,63701.508,816769.2519999999,78808.248576,2017,MA
10608085.7,980684.5,46836.66,3645.24,48504.002773,7959.48,605.44,4690.0,0.0,0.0,8090096.466,778179.564,117451.46,1493567.428,0.0,248325.17,64515.53599999999,832914.3679999999,75961.030773,2018,MA
8808382.200000003,963225.0,44345.38,3698.52,41873.560576,9391.32,474.72,4360.0,0.0,0.0,6431779.790000001,738376.112,118147.254,1409960.966,0.0,228916.706,63315.194,815020.334,70234.34457599999,2019,MA
8379301.9,906700.5,41638.348,2672.88,37429.580985,9165.599999999999,443.76,4270.0,0.0,0.0,6105581.598,685980.5420000001,115302.864,1451746.346,0.0,202079.108,61981.914,694020.712,64938.09798499999,2020,MA
5287720.100000001,395741.75,24969.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5054838.582,27253.8,0.0,465071.5320000001,0.0,65422.104,19500.83,76344.124,0.0,2011,NH
4505404.663742,284392.154925,21370.53062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4248035.494000001,0.0,0.0,383384.491287,0.0,65646.052,52009.2,62092.112,0.0,2012,NH
3607972.3,307092.25,21202.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3348360.826000001,0.0,0.0,404712.86,0.0,72469.928,51411.424,59312.212,0.0,2013,NH
3502543.1,276130.75,17655.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3271809.578,0.0,0.0,345166.446,0.0,74684.32,19281.77,85387.044,0.0,2014,NH
3719014.7,284441.5,15802.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3489017.154,0.0,0.0,351947.94,0.0,62929.164,30130.146,85234.438,0.0,2015,NH
2589860.1,297843.5,11079.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2328289.512,16.25,0.0,369427.5519999999,0.0,82509.84,32448.758,86091.62599999999,0.0,2016,NH
2066719.8,316974.25,10193.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1815794.778,0.0,0.0,389700.6459999999,0.0,76950.16,33741.866,77700.286,0.0,2017,NH
2365243.9,346856.75,11678.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2103910.964,0.0,0.0,417210.896,0.0,85219.52799999999,37206.806,80230.77799999999,0.0,2018,NH
2058187.9,370008.75,9280.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1797755.174,581.1,0.0,439131.726,0.0,88656.76800000001,34536.21,76816.286,0.0,2019,NH
1827135.100000001,345077.25,4657.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1570701.618,122.85,0.0,426303.534,0.0,80989.196,31054.008,67698.586,0.0,2020,NH
158140.3,127193.5,18647.648,10269.6794,270115.443,12761.16,17127.76,47983.8,678.3016,9.0576,10004.66,0.0,0.0,124241.3,0.0,0.0,38231.904,81467.734,408981.0516000001,2011,VT
148619.5,127373.5,17777.488,9688.39,234338.257,18376.8,16338.28,41499.0,608.7019,0.0,8864.652,2735.45,0.0,121687.85,0.0,0.0,35280.016,77771.47399999999,368280.4749,2012,VT
165066.7,100207.75,12958.53,7534.4136,180156.748,17435.16,15619.32,31474.01,658.0926,0.0,2790.968,0.0,0.0,100143.5,0.0,0.0,36088.112,87841.38,304246.7642,2013,VT
163649.7,90989.75,13205.572,15474.4124,120630.60628,42923.28,26613.56,29385.0,693.8882,0.0,2658.348,2920.7,0.0,88020.4,0.0,0.0,36347.85200000001,83845.78,289772.68888,2014,VT
154060.8,96443.25,13407.318,17133.0719,115982.164642,35675.16,41317.84,32462.59,576.2547,0.0,1277.448,3646.9,0.0,92762.75,0.0,0.0,39332.12,71924.894,298114.337242,2015,VT
149280.4,68835.0,13402.848,14437.2724,117020.797428,32362.32,42711.04,18818.62,578.7074,0.0,0.0,3792.0,0.0,65042.45,0.0,0.0,37751.608,73916.636,276944.311228,2016,VT
148254.5,58199.75,11843.414,20360.7756,113595.4448,12063.48,47024.8,22926.23,550.7049,0.0,0.0,0.0,0.0,58206.65,0.0,0.0,36334.812,76807.676,263469.9613,2017,VT
154658.9,65091.5,12851.846,18417.6642,105695.540327,12966.36,46524.28,23597.519,482.4866,0.2245,0.0,0.0,0.0,65090.398,0.0,0.0,37373.65,78089.98999999999,259732.282627,2018,VT
157582.9,77913.0,11820.766,16716.5552,110173.807156,25162.08,45354.68,21723.61,543.7824,1.9609,0.0,4047.65,0.0,73882.298,0.0,0.0,37785.306,79571.84,271706.047656,2019,VT
125128.4,66901.5,10218.42,19227.7216,108549.167642,30595.32,48713.84,26748.7,722.6601,0.0,0.0,4067.15,0.0,62845.7,0.0,0.0,36477.764,51033.204,282381.911342,2020,VT
